Los Angeles Lakers
TRB
Ryan Kelly,,,,,0,,,,2,3,,,
Carlos Boozer,7,4,7,4,6,5,8,6,8,5,10,13,1
Nick Young,,,,,,,,,,,5,4,0
Jordan Clarkson,4,2,0,1,0,,0,0,4,2,,,1
Ronnie Price,1,3,4,2,1,2,0,2,,6,3,1,1
Jordan Hill,10,11,5,5,15,6,14,8,11,11,10,10,10
Steve Nash,,,,,,,,,,,,,
Robert Sacre,0,1,2,1,,3,0,0,3,3,1,0,4
Wayne Ellington,,1,3,4,4,5,,,,,,,2
Julius Randle,0,,,,,,,,,,,,
Wesley Johnson,2,1,5,4,4,3,2,3,5,3,1,3,2
Xavier Henry,1,,0,0,,0,0,0,1,2,,,0
Kobe Bryant,3,4,4,6,9,6,7,4,4,5,4,5,5
Jeremy Lin,2,2,4,4,1,3,2,4,4,2,3,0,4
Ed Davis,6,9,6,6,9,5,5,11,4,6,7,11,3
AST
Ryan Kelly,,,,,0,,,,1,0,,,
Carlos Boozer,2,1,3,1,4,1,3,0,1,1,2,1,2
Nick Young,,,,,,,,,,,0,0,2
Jordan Clarkson,2,2,0,0,0,,0,0,1,1,,,1
Ronnie Price,3,5,4,6,3,8,3,3,,5,5,1,3
Jordan Hill,1,2,0,4,2,7,3,2,0,0,1,1,2
Steve Nash,,,,,,,,,,,,,
Robert Sacre,0,1,0,0,,0,2,0,0,1,1,0,1
Wayne Ellington,,0,1,1,1,1,,,,,,,0
Julius Randle,0,,,,,,,,,,,,
Wesley Johnson,0,2,0,0,2,0,1,0,4,1,2,2,1
Xavier Henry,0,,0,0,,0,0,1,0,2,,,0
Kobe Bryant,2,3,7,1,1,4,6,5,6,3,3,7,7
Jeremy Lin,6,1,9,6,3,7,3,4,4,1,10,4,5
Ed Davis,0,3,0,2,0,0,1,0,0,2,0,1,0
3P
Ryan Kelly,,,,,0,,,,1,0,,,
Carlos Boozer,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Young,,,,,,,,,,,2,2,1
Jordan Clarkson,1,0,1,1,0,,0,0,0,0,,,0
Ronnie Price,1,1,0,0,1,0,0,0,,0,0,1,0
Jordan Hill,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Nash,,,,,,,,,,,,,
Robert Sacre,0,0,0,0,,0,0,0,0,0,0,0,0
Wayne Ellington,,1,1,0,1,1,,,,,,,1
Julius Randle,0,,,,,,,,,,,,
Wesley Johnson,1,0,1,2,0,1,3,1,0,0,0,0,0
Xavier Henry,0,,0,0,,0,0,0,0,0,,,0
Kobe Bryant,0,2,1,1,3,1,3,5,0,3,3,1,1
Jeremy Lin,0,0,3,0,1,3,1,1,1,0,1,1,2
Ed Davis,0,0,0,0,0,0,0,0,0,0,0,0,0
MP
Ryan Kelly,,,,,7:05,,,,12:04,5:25,,,
Carlos Boozer,27:35,23:01,28:31,23:41,28:42,30:14,28:47,33:54,32:05,20:57,29:28,30:00,19:47
Nick Young,,,,,,,,,,,27:46,28:26,19:22
Jordan Clarkson,20:22,15:23,5:44,4:46,3:45,,5:08,13:51,22:04,18:54,,,12:00
Ronnie Price,26:56,29:37,13:18,22:21,20:48,17:37,20:54,16:34,,30:54,17:31,15:31,24:02
Jordan Hill,23:23,25:26,33:30,32:52,34:29,29:38,35:05,31:57,28:00,25:37,30:57,34:42,28:26
